M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,3
M,0.635,0.48,0.145,1.181,0.665,0.229,0.225,3
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,2
M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,3
M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,2
M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,3
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,3
F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,3
M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,3
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,1
I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,1
I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,1
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,1
I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,1
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,2
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,1
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,1
I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,2
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,2
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,3
M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,1
I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,3
I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,2
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,3
I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,3
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,3
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,3
F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,3
F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,2
F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,3
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,2
M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,3
M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,3
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,2
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,2
M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,3
F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,3
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,3
F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,2
M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,3
F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,3
F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,3
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,2
I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,2
M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,3
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,2
F,0.63,0.515,0.16,1.336,0.553,0.3205,0.35,3
F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,2
I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,1
I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,1
I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,1
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,1
I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,2
I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,1
I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,2
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,2
I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,2
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,2
M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,2
I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,2
I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,2
M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,3
M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,2
I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,2
M,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,3
I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,2
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,3
F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,3
M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,3
M,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,2
I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,3
M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,2
M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,2
M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,3
F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,3
M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,3
F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,3
M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,2
F,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,2
M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,2
F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,2
F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,3
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,3
M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,3
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,3
F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,2
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,3
I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,1
I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,1
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,2
M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,2
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,2
F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,2
I,0.56,0.42,0.14,0.837,0.414,0.214,0.2,2
F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,2
F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,3
M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,2
F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,2
M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,2
I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,1
M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,1
I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,2
I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,2
I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,2
I,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,2
I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,2
M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,3
I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,3
M,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255,2
I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,3
M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,3
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,3
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,3
M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,3
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,2
F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,3
F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,2
M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,3
M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,3
F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,3
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,3
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,3
M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,3
M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,3
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,3
M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,3
M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,3
I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,1
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,1
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,1
I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,1
I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,2
I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,1
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,1
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,2
M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,2
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,2
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,2
F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,3
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,3
M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,2
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,1
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,1
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,1
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,3
M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,2
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,2
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,3
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,3
M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,2
F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,3
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,3
M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,2
F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,3
